username|next_player|degree
gomatte|pg-91|2
stree|pg-91|2
hiraishin3|pg-91|2
tubbytoast|pg-91|2
boris98|pg-91|2
jiahaoxiang|pg-91|2
tigerlilov|pg-91|2
millesque|pg-91|2
kingh_77|pg-91|2
schachschnecke|pg-91|2
sarelephant|pg-91|2
eldax64|pg-91|2
blefer66|pg-91|2
drycounty|pg-91|2
almostright|pg-91|2
o_mpampas_sas|pg-91|2
aleksa74|pg-91|2
gmgamil|pg-91|2
larsemans1|pg-91|2
scrapnel|pg-91|2
gmnadlor|pg-91|2
elsayed_abdelhameed|pg-91|2
zen-22|pg-91|2
gdlkskc|pg-91|2
egorgeroev|pg-91|2
nitzan_steinberg|gmharikrishna|2
krolpawel92ontwitch|gmharikrishna|2
whatbecause|gmharikrishna|2
lovevae|gmharikrishna|2
grnic10|gmharikrishna|2
want2lose|gmharikrishna|2
murad_ibrahimli|gmharikrishna|2
vovkcoach|gmharikrishna|2
revnov|gmharikrishna|2
dancingqueen83|gmharikrishna|2
smoothasahedgehog|gmharikrishna|2
pavelchernomordik|gmharikrishna|2
gnowreopard|gmharikrishna|2
reader777|gmharikrishna|2
tenismaster|gmharikrishna|2
gullinburste|gmharikrishna|2
jasardo|gmharikrishna|2
honestgirl|gmharikrishna|2
freedoom19|gmharikrishna|2
kleopl|gmharikrishna|2
vsuri97|gmharikrishna|2
unknown1soldier|gmharikrishna|2
pkilz5rn9b|gmharikrishna|2
riazantsev|gmharikrishna|2
druid24|gmharikrishna|2
clay83|gmharikrishna|2
nemegejas|gmharikrishna|2
danieldardha2005|gmharikrishna|2
1tsnowornever|gmharikrishna|2
radical_3dward|gmharikrishna|2
tptagain|gmharikrishna|2
1nichi|gmharikrishna|2
temcolz|gmharikrishna|2
tiredofdancing|gmharikrishna|2
nguyenduchoa|gmharikrishna|2
grandelicious|gmharikrishna|2
kuanorama|gmharikrishna|2
rnhs|gmharikrishna|2
shiroglantalibov|gmharikrishna|2
hope_6|gmharikrishna|2
robbykevlishvili|gmharikrishna|2
farrukh_amonatov|gmharikrishna|2
computer4-impossible|gmharikrishna|2
jerom555888|gmharikrishna|2
evgeny81|gmharikrishna|2
particle-accelerator|gmharikrishna|2
coachric|cronos96|2
lacosapeluda|cronos96|2
neurorad24|cronos96|2
hizoro666|cronos96|2
weenme|cronos96|2
fourqueens13|cronos96|2
aitmaud|cronos96|2
akdog3|cronos96|2
iuventus|cronos96|2
zizzu123|cronos96|2
francismarcos|cronos96|2
la_la_la|cronos96|2
iwansusanto16|cronos96|2
tulipaz|cronos96|2
dasp4|cronos96|2
chesswooog|cronos96|2
tesla17|cronos96|2
jawschess1955|cronos96|2
sirkid|cronos96|2
trood|cronos96|2
be-better|cronos96|2
msalehian|cronos96|2
solvita|cronos96|2
kolotoc|cronos96|2
realblindmuddy|cronos96|2
cerati11|cronos96|2
lorneracosta|cronos96|2
rotete|cronos96|2
palacios-llera|cronos96|2
essam0000|cronos96|2
jbades6310|cronos96|2
michnguyen|cronos96|2
shrike1883|cronos96|2
ermacheide|cronos96|2
cubanmaster28|cronos96|2
lebelge|cronos96|2
gipskopf|cronos96|2
sercan23|cronos96|2
havlas208|cronos96|2
xeroxmachine|cronos96|2
cleighravs|cronos96|2
obender2004|cronos96|2
btg_go|cronos96|2
edorteza|cronos96|2
recombinant|cronos96|2
imd_juval|cronos96|2
maxstranger|cronos96|2
vladny02|cronos96|2
vanishingdragon|cronos96|2
shams|cronos96|2
gunamik|cronos96|2
cruz29|cronos96|2
littleyebber|cronos96|2
saprullah|cronos96|2
agus_k|cronos96|2
jaideepblue|cronos96|2
devik64|cronos96|2
chesstatour|cronos96|2
strongmrsmith|cronos96|2
imbahimovic|cronos96|2
mandredahl|cronos96|2
johnlattier|cronos96|2
paltazar|cronos96|2
ciseric|cronos96|2
fidemajstor|cronos96|2
chexmates|cronos96|2
toila3t|cronos96|2
gladi28|cronos96|2
himallama|cronos96|2
elchakal74|cronos96|2
lagarto93|cronos96|2
srodd|cronos96|2
lak2015|cronos96|2
mr_plus|cronos96|2
sion2200|cronos96|2
hoshor|cronos96|2
18181816|cronos96|2
dmitry_m1|cronos96|2
jjdtl|cronos96|2
skorpijon-55|cronos96|2
ivari60|cronos96|2
felixcuba|cronos96|2
fmartinz|cronos96|2
ramsoleinen|cronos96|2
goblue82|cronos96|2
migzjay27|cronos96|2
abdelhamid76|cronos96|2
hyttegaarden|cronos96|2
matussalen|cronos96|2
kingway|cronos96|2
doncossak|cronos96|2
jswift24|cronos96|2
mazai_sr|cronos96|2
fsachess36|cronos96|2
remuloaguiarfreitas|cronos96|2
paranga75|cronos96|2
sahista108|cronos96|2
reptar1582|cronos96|2
masuagt|cronos96|2
garry64|cronos96|2
tepse|cronos96|2
onischenko_leonid273|cronos96|2
jam_25|cronos96|2
ninjaweasel|cronos96|2
ewocks|cronos96|2
arreso|cronos96|2
mishabehtev|cronos96|2
ginobili13|cronos96|2
gmnebon|cronos96|2
apuntando|cronos96|2
witty_alien|cronos96|2
klikni|cronos96|2
ori_1996|cronos96|2
tigranpetrosian2013|cronos96|2
dinamit64|cronos96|2
nesbian|cronos96|2
haridaskesavan|cronos96|2
caterpiller35|cronos96|2
doctor_zhivago|cronos96|2
veyronmclaren|cronos96|2
drifblim|cronos96|2
mr_nimzo|cronos96|2
terrypupier|cronos96|2
baby-shark|cronos96|2
kuenkuen1989|cronos96|2
queening138|cronos96|2
orestn|cronos96|2
s_batiller|cronos96|2
zigzagzob|cronos96|2
franqesko1|cronos96|2
nombrecualquiera|cronos96|2
trash_aesthetic|cronos96|2
anisimoff|cronos96|2
honninglosen|cronos96|2
katecheckmate|cronos96|2
franco7779|cronos96|2
auonr|cronos96|2
dodecaphone|cronos96|2
renegator|cronos96|2
yahoo_chess_refugee|cronos96|2
fineguy2000f|cronos96|2
birdsong22|cronos96|2
isisiser|cronos96|2
genssumus|cronos96|2
ivangeo|cronos96|2
the_jagermeister|cronos96|2
volodja49|cronos96|2
sodumb|cronos96|2
gelukje|cronos96|2
arhimede|cronos96|2
lepbony|cronos96|2
