username|next_player|degree
jungle_jaguar|davit_tiraturyan|2
overp|davit_tiraturyan|2
hares91|davit_tiraturyan|2
zzww18|davit_tiraturyan|2
honest_player1005|davit_tiraturyan|2
dekabrist21|davit_tiraturyan|2
ehsan_ghaemmaghami|davit_tiraturyan|2
radekgajek|davit_tiraturyan|2
hedgehog280|davit_tiraturyan|2
shota_azaladze|davit_tiraturyan|2
doctor_gregory_house|davit_tiraturyan|2
alonsolarpower|davit_tiraturyan|2
wizardpython|davit_tiraturyan|2
gm_juditpolgar|davit_tiraturyan|2
mishkafighter|davit_tiraturyan|2
trahtarbelarus|davit_tiraturyan|2
mitrabhaa|davit_tiraturyan|2
vincentkeymer|davit_tiraturyan|2
shrek4life02|davit_tiraturyan|2
ruthless-228|davit_tiraturyan|2
gmcorrales|davit_tiraturyan|2
ommz12|davit_tiraturyan|2
stree|davit_tiraturyan|2
msbff|davit_tiraturyan|2
poppingcheckmates|davit_tiraturyan|2
komodo20|davit_tiraturyan|2
danieklatev|davit_tiraturyan|2
schacho1|davit_tiraturyan|2
kiphachu|davit_tiraturyan|2
maghalashvili|davit_tiraturyan|2
miguelito|davit_tiraturyan|2
nader97|davit_tiraturyan|2
unmerciful_life|davit_tiraturyan|2
yoggsaron99|davit_tiraturyan|2
targeta|davit_tiraturyan|2
13201492|davit_tiraturyan|2
boredoldman|davit_tiraturyan|2
oskariot|davit_tiraturyan|2
rhinoceros2015|davit_tiraturyan|2
mahmudv2|davit_tiraturyan|2
soham0705|davit_tiraturyan|2
rezeknenian|davit_tiraturyan|2
miaou33|davit_tiraturyan|2
nabigoli|davit_tiraturyan|2
ziggystardust64|davit_tiraturyan|2
farmvllle|davit_tiraturyan|2
egor_koshulyan|davit_tiraturyan|2
lyova_davtyan|davit_tiraturyan|2
sakolopa|davit_tiraturyan|2
avolodin|davit_tiraturyan|2
abrkns|davit_tiraturyan|2
xiaotong2008|davit_tiraturyan|2
yourdad069|davit_tiraturyan|2
akewjon|davit_tiraturyan|2
piliposyann|davit_tiraturyan|2
vladimirsmirnov|davit_tiraturyan|2
bayernbk|davit_tiraturyan|2
gyg|davit_tiraturyan|2
hbuitrong|davit_tiraturyan|2
nikaghvamberia|davit_tiraturyan|2
almaschampion1|davit_tiraturyan|2
jaakul|davit_tiraturyan|2
whypicktruth|davit_tiraturyan|2
roseychess|davit_tiraturyan|2
amazing-sunny-boy|davit_tiraturyan|2
o-m-e-g-a|davit_tiraturyan|2
inward_oceans|davit_tiraturyan|2
chess_killer228|davit_tiraturyan|2
bulldog515|davit_tiraturyan|2
splendidkid|davit_tiraturyan|2
ne_btvaasdroeu|davit_tiraturyan|2
vadiov|davit_tiraturyan|2
no1really|davit_tiraturyan|2
pe-tro|davit_tiraturyan|2
alen_yeremyann03|davit_tiraturyan|2
diloyan|davit_tiraturyan|2
xtrmntr78|davit_tiraturyan|2
sergst|davit_tiraturyan|2
nakachuk|davit_tiraturyan|2
lizasolovyova|davit_tiraturyan|2
leewyeroseman|davit_tiraturyan|2
chopper1905|davit_tiraturyan|2
alconjohndatu|davit_tiraturyan|2
zurabazmai|davit_tiraturyan|2
nocompkids|davit_tiraturyan|2
aquariusman2006|davit_tiraturyan|2
zrok|davit_tiraturyan|2
cutesheepcloud|davit_tiraturyan|2
chess_qiuqiu|davit_tiraturyan|2
ferdierov|davit_tiraturyan|2
ricktroll|davit_tiraturyan|2
grigor_adanalyan|davit_tiraturyan|2
gau_npukyputb|davit_tiraturyan|2
kumaranbalaji98|davit_tiraturyan|2
starworld123|davit_tiraturyan|2
anonymousbeast|davit_tiraturyan|2
lavr92|davit_tiraturyan|2
chargemax23|davit_tiraturyan|2
nisapradila|davit_tiraturyan|2
just_improvisation|davit_tiraturyan|2
chloe-decker|davit_tiraturyan|2
alexander_zubov|davit_tiraturyan|2
queenlessswindler|davit_tiraturyan|2
elsa167|davit_tiraturyan|2
bonuspater18|davit_tiraturyan|2
igor_kowalski|davit_tiraturyan|2
rivaresfelice|davit_tiraturyan|2
pyky_myxa_dephyjia|davit_tiraturyan|2
annasargsyan_m|davit_tiraturyan|2
andiyos|davit_tiraturyan|2
amelyplaying|davit_tiraturyan|2
jamescoleman|davit_tiraturyan|2
