username,time_class,archive_url
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2021/05
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2021/06
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2021/07
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2021/08
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2021/09
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2021/10
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2021/11
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2021/12
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/01
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/02
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/03
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/04
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/05
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/06
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/07
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/08
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/09
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/10
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/11
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2022/12
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2023/01
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2023/02
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2023/03
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2023/04
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2023/05
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2023/06
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2023/07
Hikaru,bullet,https://api.chess.com/pub/player/hikaru/games/2023/08
